"Academy Roofing","2407 N 45th Ave","Omaha, NE"
"Accurate Heating & Cooling","11710 N 189th Plz","Bennington, NE"
"Aksarben / ARS Heating, Air Conditioning & Plumbing","7070 S 108th Street","Omaha, NE"
"BRT Construction","718 Avenue K","Carter Lake, IA"
"Complete Industries Inc","9402 Fairview Road","Papillion, NE"
"Critter Control","PO Box 27308","Omaha, NE"
"Electrical Systems Inc","14928 A Cir","Omaha, NE"
"Elite Exteriors","14535 Industrial Rd","Omaha, NE"
"Goslin Contracting","6116 Military Ave","Omaha, NE"
"Mangia Italiana","6516 Irvington Rd","Omaha, NE"
"Papa Murphy's Take 'n' Bake","701 Galvin Rd S","Bellevue, NE"
"Papa Murphy's Take 'n' Bake","5104 L Street","Omaha, NE"
"Papa Murphy's Take 'n' Bake","2071 N 156th St","Omaha, NE"
"Papa Murphy's Take 'n' Bake","15330 Weir St","Omaha, NE"
"Papa Murphy's Take 'n' Bake","1702 W Broadway","Council Bluffs, IA"
"Papa Murphy's Take 'n' Bake","1751 Madison Ave","Council Bluffs, IA"
"Papa Murphy's Take 'n' Bake","2903 Samson Way","Bellevue, NE"
"Portovino Ristorante","220 S 31st Ave","Omaha, NE"
"Red's Savoy Pizza","1904 N 168th St","Omaha, NE"
"SOS Construction & Roofing","13473 Kingswood Dr","Omaha, NE"
"Sam & Louie's New York Pizzeria","2062 N 117th Ave","Omaha, NE"
"Sam & Louie's New York Pizzeria","2418 Cuming St","Omaha, NE"
"Sam & Louie's New York Pizzeria","3608 Twin Creek Dr # 7","Bellevue, NE"
"Sam & Louie's New York Pizzeria","7641 Cass St","Omaha, NE"
"Sam & Louie's New York Pizzeria","1995 Ridgeview Rd","Blair, NE"
"Sam & Louie's New York Pizzeria","2949 N 204th St","Elkhorn, NE"
"Sam & Louie's New York Pizzeria","1851 Madison Ave # 726","Council Bluffs, IA"
"Sam & Louie's New York Pizzeria","18010 R Plz","Omaha, NE"
"Scales Sales & Service","8615 Vernon Ave","Omaha, NE"
"Villagio Pizza","6922 N 102nd Circle","Omaha, NE"
"Voila Blooms In Dundee","4922 Dodge St","Omaha, NE"
"Zio's New York Style Pizzeria","1109 Howard St","Omaha, NE"
"Zio's New York Style Pizzeria","12997 W Center Rd","Omaha, NE"
"Zio's New York Style Pizzeria","7834 Dodge St","Omaha, NE"
"Anytime Fitness","701 Galvin Rd S # 112","Bellevue, NE"
"Beertopia","3570 Farnam St","Omaha, NE"
"Beyond Dreams Construction","3005 S 33rd Street","Omaha, NE"
"Centennial Park Retirement Village","510 Centennial Cir","North Platte, NE"
"Charlie's On the Lake","4150 S 144th Street","Omaha, NE"
"Cunningham's Pub & Grill","2101 N 120th Street","Omaha, NE"
"Dave & Buster's","2502 S 133rd Plaza # 111","Omaha, NE"
"Dietze Music","13015 W. Center Rd","Omaha, NE"
"Dr. Steven D. Meinhold. PC","1941 s 42nd st. ste 430","Omaha, NE"
"Fashion Cleaners","3031 Leavenworth St","Omaha, NE"
"Fernando's Cafe & Cantina","7555 Pacific Street","Omaha, NE"
"Fire Barn Sports Bar & Grill","11336 S 96th St # 190","Papillion, NE"
"Fire Barn Sports Bar & Grill","2523 Old River Road","Waterloo, NE"
"Hiro"," 3655 N 129th Street","Omaha, NE"
"Hiro 88","1308 Jackson St # 3","Omaha, NE"
"Horsemen's Park","6303 Q Street","Omaha, NE"
"Iowa Western Community College","2700 College Rd
","Council Bluffs, IA"
"Janousek Florist","4901 Charles St","Omaha, NE"
"Joslyn Art Museum","2200 Dodge St","Omaha, NE"
"Kozy Lawn Care","5701 N 60th St","Omaha, NE"
"Le Peep Restaurant","17660 Wright Plz # 20","Omaha, NE"
"Legacy Financial Scott Girvan","342 N. 76th St.","Omaha, NE"
"Loose Moose Bar & Grill","4915 N 120th St # 101","Omaha, NE"
"Mid Plains Podiatry PC","11071 W Maple Rd","Omaha, NE"
"Nebraska Cancer Specialists","515 N 162nd Ave # 102","Omaha, NE"
"New Life Thrift Store","7007 S 36th St
402-738-8904","Bellevue, NE"
"North Platte Vision Center","402 S. Dewey St.","North Platte, NE"
"Olympic Pool & Spa","The Shops of Legacy 
(Southwest corner of 168th & Center)
16902 Wright Plz # 160","Omaha, NE"
"Omaha Door & Window Co","4665 G St","Omaha, NE"
"Omaha World-Herald ","1314 Douglas Street","Omaha, NE"
"Orsi's Italian Bakery","621 Pacific St","Omaha, NE"
"Shucks Fish House & Oyster Bar","1218 S. 119th Street","Omaha, NE"
"Skin Specialists PC","3001 S 143rd Plaza","Omaha, NE"
"Sushi Japan","14134 West Center Rd.","Omaha, NE"
"Te'bella Medspa","17007 Elm St","Omaha, NE"
"The Green Spot","1110 S. 71st st  Bay K","Omaha, NE"
"Totally Vein","17001 Lakeside Hills Plz # 102","Omaha, NE"
"Triba Chiropractic Clinic","2720 S 114th St","Omaha, NE"
"Two Fine Irishmen Bar & Grill","18101 R Plaza","Omaha, NE"
"Varsity Lounge and Roman Coin Pizza","3504 Samson Way Ste 100 ","Bellevue, NE"
"7M Grill","15805 W Maple Rd","Omaha, NE"
"Blanc Burgers & Bottles Omaha","3157 Farnam St # 7113","Omaha, NE"
"Foursomes Grill","3510 N 167th Street","Omaha, NE"
"Ingredient Restaurant","10317 Pacific St","Omaha, NE"
"Jackson Street Tavern","1125 Jackson St","Omaha, NE"
"0 Always 1 24 A Locksmith","7700 Hascall St","Omaha, NE"
"16th Street Salon"," 328 N 16th Street","Blair, NE"
"2 DSS Coin and Bullion","1906 South 13th Street","Omaha, NE"
"20 20 Vision Wear","130 West Broadway ","Council Bluffs, IA"
"24 Hour Fitness","845 Tara Plz","Papillion, NE"
"25th Street Storage","11625 S 25th St","Bellevue, NE"
"A New Orleans Tea Room at A Girl's Best Friend Boutique","4655 Leavenworth Street","Omaha, NE"
"Anthony's Steakhouse","7220 F Street","Omaha, NE"
"Bailey's","1259 S. 120th Street","Omaha, NE"
"Bella Vita Ristorante","2620 N Main St","Elkhorn, NE"
"Bergman Jewelers","9415 F St","Omaha, NE"
"Beyond Golf Sports & Spirits","12040 Mcdermott Plz # 330","La Vista, NE"
"Big Red Locksmiths Inc","711 Fort Crook Road North","Bellevue, NE"
"Bramhall & Munch Law Firm","105 E 2nd Street","Papillion, NE"
"Brazen Head Irish Pub","319 N 78th St","Omaha, NE"
"Cascio's Steakhouse","1620 S 10th Street","Omaha, NE"
"Clancy's Pub","2905 S 168th Street","Omaha, NE"
